code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,date_registration,module_presentation_length,average_score,min_score,max_score,assessments_submitted,average_submission_date,average_assessment_weight,assessment_type_diversity,total_resource_clicks,average_resource_clicks,first_used,last_used,resources_used,interaction_duration,days_registered
AAA,2013J,75091,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,False,-107.0,268,66.5,66.0,67.0,2.0,35.0,15.0,1.0,1506.0,4.735849056603773,-10.0,86.0,62.0,96.0,193.0
AAA,2013J,77367,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,False,-27.0,268,74.5,73.0,76.0,2.0,36.0,15.0,1.0,400.0,2.6315789473684212,-10.0,83.0,26.0,93.0,113.0
AAA,2013J,91265,M,North Western Region,HE Qualification,0-10%,0-35,0,60,False,-31.0,268,74.5,74.0,75.0,2.0,42.5,15.0,1.0,744.0,3.206896551724138,-8.0,86.0,34.0,94.0,117.0
AAA,2013J,94961,M,South Region,Lower Than A Level,70-80%,35-55,0,60,False,-170.0,268,74.0,74.0,74.0,1.0,17.0,10.0,1.0,339.0,3.323529411764706,-10.0,55.0,26.0,65.0,256.0
AAA,2013J,98094,M,Wales,Lower Than A Level,70-80%,35-55,0,60,False,-107.0,268,60.5,59.0,62.0,2.0,33.5,15.0,1.0,1634.0,7.635514018691588,-10.0,73.0,59.0,83.0,193.0
AAA,2013J,100893,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,60,False,-62.0,268,65.5,63.0,68.0,2.0,33.5,15.0,1.0,388.0,3.03125,-9.0,76.0,33.0,85.0,148.0
AAA,2013J,101781,M,South Region,Lower Than A Level,80-90%,35-55,0,60,False,-103.0,268,74.0,64.0,84.0,2.0,34.0,15.0,1.0,2111.0,5.946478873239436,-10.0,86.0,58.0,96.0,189.0
AAA,2013J,102806,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,False,-107.0,268,83.0,80.0,86.0,2.0,36.5,15.0,1.0,914.0,2.85625,-10.0,85.0,40.0,95.0,193.0
AAA,2013J,102952,M,London Region,HE Qualification,60-70%,0-35,0,60,False,-100.0,268,73.0,70.0,76.0,2.0,35.5,15.0,1.0,490.0,4.049586776859504,-3.0,71.0,31.0,74.0,186.0
AAA,2013J,104476,M,Ireland,Post Graduate Qualification,20-30%,35-55,0,60,False,-109.0,268,81.5,78.0,85.0,2.0,46.0,15.0,1.0,1648.0,4.539944903581267,-10.0,86.0,57.0,96.0,195.0
AAA,2013J,106247,M,South Region,HE Qualification,80-90%,35-55,0,60,False,5.0,268,66.5,66.0,67.0,2.0,48.0,15.0,1.0,396.0,3.5675675675675675,12.0,70.0,39.0,58.0,81.0
AAA,2013J,106577,M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,False,-107.0,268,54.0,51.0,57.0,2.0,36.0,15.0,1.0,392.0,3.663551401869159,-10.0,68.0,31.0,78.0,193.0
AAA,2013J,110175,M,East Anglian Region,HE Qualification,80-90%,35-55,0,60,False,-110.0,268,63.5,61.0,66.0,2.0,36.5,15.0,1.0,465.0,2.703488372093023,-10.0,84.0,43.0,94.0,196.0
AAA,2013J,111717,F,East Anglian Region,HE Qualification,90-100%,35-55,0,60,False,-43.0,268,80.0,80.0,80.0,1.0,10.0,10.0,1.0,1181.0,4.705179282868526,-10.0,86.0,55.0,96.0,129.0
AAA,2013J,113295,M,Yorkshire Region,Lower Than A Level,60-70%,35-55,0,60,False,-26.0,268,79.0,77.0,81.0,2.0,40.0,15.0,1.0,1824.0,4.044345898004434,-9.0,86.0,48.0,95.0,112.0
AAA,2013J,114017,F,North Region,Post Graduate Qualification,20-30%,35-55,0,60,False,-29.0,268,71.0,66.0,76.0,2.0,35.5,15.0,1.0,484.0,4.0,-9.0,82.0,28.0,91.0,115.0
AAA,2013J,114999,M,Yorkshire Region,HE Qualification,60-70%,35-55,0,60,False,-68.0,268,76.5,74.0,79.0,2.0,35.0,15.0,1.0,705.0,3.1194690265486726,-10.0,86.0,44.0,96.0,154.0
AAA,2013J,116541,M,Wales,HE Qualification,0-10%,0-35,0,60,False,-68.0,268,71.0,66.0,76.0,2.0,47.0,15.0,1.0,792.0,4.424581005586592,0.0,78.0,36.0,78.0,154.0
AAA,2013J,116692,M,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,False,-32.0,268,74.5,72.0,77.0,2.0,31.5,15.0,1.0,741.0,4.186440677966102,-10.0,79.0,43.0,89.0,118.0
AAA,2013J,118983,M,East Midlands Region,HE Qualification,30-40%,0-35,0,120,False,-99.0,268,68.0,63.0,73.0,2.0,36.5,15.0,1.0,127.0,2.4423076923076925,-10.0,54.0,17.0,64.0,185.0
AAA,2013J,123044,M,South Region,A Level or Equivalent,40-50%,35-55,0,60,False,-82.0,268,73.5,72.0,75.0,2.0,39.5,15.0,1.0,1103.0,3.8838028169014085,-10.0,79.0,39.0,89.0,168.0
AAA,2013J,127582,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,180,False,-31.0,268,67.5,66.0,69.0,2.0,43.5,15.0,1.0,563.0,2.643192488262911,-10.0,74.0,38.0,84.0,117.0
AAA,2013J,129955,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,False,-197.0,268,83.5,82.0,85.0,2.0,36.0,15.0,1.0,817.0,3.521551724137931,-10.0,75.0,47.0,85.0,283.0
AAA,2013J,132976,F,East Anglian Region,Lower Than A Level,80-90%,35-55,0,120,False,-75.0,268,64.0,63.0,65.0,2.0,35.5,15.0,1.0,157.0,4.361111111111111,-10.0,30.0,14.0,40.0,161.0
AAA,2013J,134143,F,South East Region,A Level or Equivalent,90-100%,35-55,0,60,False,-96.0,268,85.0,83.0,87.0,2.0,35.5,15.0,1.0,1189.0,6.160621761658031,-10.0,86.0,51.0,96.0,182.0
AAA,2013J,135335,F,East Anglian Region,Lower Than A Level,20-30%,0-35,0,180,False,-29.0,268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,2.28,-10.0,24.0,8.0,34.0,115.0
AAA,2013J,135400,F,South East Region,Lower Than A Level,90-100%,35-55,0,60,True,-32.0,268,61.5,51.0,72.0,2.0,34.0,15.0,1.0,274.0,2.6862745098039214,2.0,86.0,28.0,84.0,118.0
AAA,2013J,137873,M,South West Region,A Level or Equivalent,40-50%,35-55,0,60,False,-195.0,268,76.5,72.0,81.0,2.0,34.5,15.0,1.0,2488.0,4.065359477124183,-10.0,86.0,51.0,96.0,281.0
AAA,2013J,141355,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,240,False,-61.0,268,75.5,74.0,77.0,2.0,36.5,15.0,1.0,813.0,3.4743589743589745,-9.0,68.0,36.0,77.0,147.0
AAA,2013J,141377,M,South West Region,A Level or Equivalent,90-100%,0-35,0,345,False,-110.0,268,45.0,45.0,45.0,1.0,54.0,10.0,1.0,134.0,3.526315789473684,3.0,54.0,19.0,51.0,196.0
AAA,2013J,142326,F,North Region,A Level or Equivalent,50-60%,35-55,0,60,False,-37.0,268,70.5,65.0,76.0,2.0,41.0,15.0,1.0,712.0,3.890710382513661,-5.0,75.0,43.0,80.0,123.0
AAA,2013J,144801,F,South Region,HE Qualification,80-90%,35-55,0,60,False,-67.0,268,62.5,61.0,64.0,2.0,37.5,15.0,1.0,2102.0,3.5033333333333334,-10.0,85.0,84.0,95.0,153.0
AAA,2013J,145130,M,South West Region,HE Qualification,60-70%,0-35,0,120,False,-36.0,268,56.0,37.0,75.0,2.0,36.5,15.0,1.0,275.0,3.235294117647059,-10.0,62.0,30.0,72.0,122.0
AAA,2013J,146188,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,True,-132.0,268,52.5,52.0,53.0,2.0,40.0,15.0,1.0,267.0,2.5428571428571427,-10.0,60.0,29.0,70.0,218.0
AAA,2013J,147756,M,North Region,Lower Than A Level,60-70%,0-35,0,120,False,-92.0,268,74.5,72.0,77.0,2.0,35.5,15.0,1.0,437.0,3.1214285714285714,-10.0,84.0,25.0,94.0,178.0
AAA,2013J,147793,F,North Region,Lower Than A Level,80-90%,0-35,0,90,False,-138.0,268,52.0,52.0,52.0,1.0,32.0,10.0,1.0,155.0,3.7804878048780486,-9.0,59.0,17.0,68.0,224.0
AAA,2013J,148993,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,True,-174.0,268,69.0,68.0,70.0,2.0,44.0,15.0,1.0,1268.0,3.3544973544973544,-10.0,86.0,44.0,96.0,260.0
AAA,2013J,151358,F,London Region,A Level or Equivalent,80-90%,0-35,0,150,False,-44.0,268,51.0,48.0,54.0,2.0,34.5,15.0,1.0,40.0,1.9047619047619047,2.0,45.0,7.0,43.0,130.0
AAA,2013J,155550,M,London Region,A Level or Equivalent,0-10%,35-55,0,420,False,-16.0,268,70.5,66.0,75.0,2.0,36.5,15.0,1.0,585.0,3.7987012987012987,-10.0,64.0,29.0,74.0,102.0
AAA,2013J,155854,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,False,-54.0,268,80.5,79.0,82.0,2.0,35.5,15.0,1.0,1618.0,4.622857142857143,-10.0,82.0,46.0,92.0,140.0
AAA,2013J,155984,F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,False,-64.0,268,85.0,85.0,85.0,1.0,19.0,10.0,1.0,709.0,3.8743169398907105,-10.0,75.0,38.0,85.0,150.0
AAA,2013J,157568,F,South West Region,A Level or Equivalent,90-100%,0-35,0,60,False,-52.0,268,80.0,79.0,81.0,2.0,42.0,15.0,1.0,599.0,4.047297297297297,-9.0,66.0,30.0,75.0,138.0
AAA,2013J,159954,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,False,-46.0,268,66.5,65.0,68.0,2.0,40.0,15.0,1.0,895.0,3.42911877394636,-10.0,84.0,39.0,94.0,132.0
AAA,2013J,164259,M,Scotland,A Level or Equivalent,70-80%,0-35,0,60,False,-64.0,268,70.0,58.0,82.0,2.0,35.5,15.0,1.0,122.0,2.259259259259259,-10.0,73.0,18.0,83.0,150.0
AAA,2013J,167906,F,Yorkshire Region,A Level or Equivalent,40-50%,35-55,0,60,False,-117.0,268,59.0,58.0,60.0,2.0,36.5,15.0,1.0,682.0,3.142857142857143,-10.0,75.0,35.0,85.0,203.0
AAA,2013J,168936,F,West Midlands Region,Lower Than A Level,10-20,35-55,0,60,False,-32.0,268,77.5,76.0,79.0,2.0,36.5,15.0,1.0,346.0,2.682170542635659,0.0,84.0,26.0,84.0,118.0
AAA,2013J,172112,M,Ireland,HE Qualification,20-30%,35-55,0,60,False,-50.0,268,63.5,60.0,67.0,2.0,43.5,15.0,1.0,506.0,2.4095238095238094,-10.0,74.0,39.0,84.0,136.0
AAA,2013J,172797,F,Ireland,A Level or Equivalent,20-30%,35-55,0,60,False,-45.0,268,57.0,54.0,60.0,2.0,35.5,15.0,1.0,299.0,3.0510204081632653,-10.0,65.0,31.0,75.0,131.0
AAA,2013J,174782,M,East Anglian Region,HE Qualification,90-100%,55<=,0,60,False,-162.0,268,81.0,79.0,83.0,2.0,34.5,15.0,1.0,2650.0,4.166666666666667,-10.0,82.0,53.0,92.0,248.0
AAA,2013J,175392,M,North Region,HE Qualification,20-30%,35-55,0,60,False,-195.0,268,79.5,74.0,85.0,2.0,34.5,15.0,1.0,2274.0,3.815436241610738,-10.0,86.0,74.0,96.0,281.0
AAA,2013J,175932,M,North Western Region,HE Qualification,70-80%,35-55,0,60,False,-92.0,268,74.5,73.0,76.0,2.0,37.5,15.0,1.0,1467.0,5.373626373626373,-10.0,84.0,40.0,94.0,178.0
AAA,2013J,175991,F,North Western Region,A Level or Equivalent,80-90%,0-35,0,180,False,-57.0,268,51.0,51.0,51.0,1.0,15.0,10.0,1.0,101.0,3.8846153846153846,-7.0,53.0,12.0,60.0,143.0
AAA,2013J,180753,M,South West Region,A Level or Equivalent,30-40%,0-35,0,120,False,-64.0,268,60.0,59.0,61.0,2.0,35.5,15.0,1.0,937.0,2.7804154302670625,-10.0,84.0,41.0,94.0,150.0
AAA,2013J,181316,F,South West Region,A Level or Equivalent,80-90%,35-55,0,120,False,-39.0,268,76.0,76.0,76.0,1.0,20.0,10.0,1.0,487.0,3.3586206896551722,-10.0,66.0,37.0,76.0,125.0
AAA,2013J,183096,F,South West Region,A Level or Equivalent,60-70%,0-35,0,60,False,-128.0,268,55.0,53.0,57.0,2.0,38.0,15.0,1.0,1029.0,3.825278810408922,-10.0,86.0,49.0,96.0,214.0
AAA,2013J,183947,M,London Region,A Level or Equivalent,10-20,0-35,0,180,False,-32.0,268,50.0,33.0,67.0,2.0,36.5,15.0,1.0,365.0,2.5704225352112675,-3.0,59.0,35.0,62.0,118.0
AAA,2013J,184271,M,South West Region,HE Qualification,80-90%,35-55,0,170,False,-74.0,268,63.5,62.0,65.0,2.0,35.5,15.0,1.0,725.0,2.9591836734693877,-10.0,78.0,50.0,88.0,160.0
AAA,2013J,185439,M,London Region,HE Qualification,10-20,0-35,0,120,False,-12.0,268,74.0,74.0,74.0,1.0,24.0,10.0,1.0,427.0,4.313131313131313,-10.0,39.0,36.0,49.0,98.0
AAA,2013J,186149,M,Scotland,HE Qualification,30-40%,35-55,0,60,False,-109.0,268,83.0,81.0,85.0,2.0,50.5,15.0,1.0,1318.0,4.2243589743589745,-10.0,86.0,94.0,96.0,195.0
AAA,2013J,187100,M,South East Region,A Level or Equivalent,50-60%,35-55,0,60,False,-136.0,268,89.0,88.0,90.0,2.0,34.5,15.0,1.0,4023.0,5.066750629722922,-10.0,86.0,57.0,96.0,222.0
AAA,2013J,188278,M,Yorkshire Region,A Level or Equivalent,70-80%,35-55,0,120,False,-57.0,268,76.0,76.0,76.0,1.0,19.0,10.0,1.0,1434.0,3.648854961832061,-10.0,60.0,41.0,70.0,143.0
AAA,2013J,189879,M,Scotland,A Level or Equivalent,90-100%,0-35,0,120,False,-180.0,268,80.5,76.0,85.0,2.0,39.5,15.0,1.0,718.0,4.432098765432099,-8.0,68.0,41.0,76.0,266.0
AAA,2013J,192183,F,South West Region,Lower Than A Level,90-100%,0-35,0,60,False,-62.0,268,70.5,66.0,75.0,2.0,38.5,15.0,1.0,1193.0,3.716510903426791,-10.0,86.0,48.0,96.0,148.0
AAA,2013J,195262,M,London Region,A Level or Equivalent,90-100%,0-35,0,60,False,-45.0,268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,777.0,5.589928057553957,-5.0,86.0,43.0,91.0,131.0
AAA,2013J,200860,M,London Region,Lower Than A Level,50-60%,35-55,0,60,False,-54.0,268,63.5,58.0,69.0,2.0,35.5,15.0,1.0,324.0,2.0377358490566038,-10.0,85.0,34.0,95.0,140.0
AAA,2013J,202635,F,Wales,A Level or Equivalent,30-40%,0-35,0,60,False,-73.0,268,69.0,68.0,70.0,2.0,45.0,15.0,1.0,1062.0,4.699115044247788,-10.0,63.0,37.0,73.0,159.0
AAA,2013J,205350,M,South West Region,HE Qualification,80-90%,35-55,0,60,False,-68.0,268,67.0,59.0,75.0,2.0,36.5,15.0,1.0,973.0,3.254180602006689,-10.0,84.0,64.0,94.0,154.0
AAA,2013J,205719,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,90,True,-51.0,268,65.0,63.0,67.0,2.0,38.5,15.0,1.0,273.0,3.4556962025316458,-1.0,57.0,28.0,58.0,137.0
AAA,2013J,227499,F,London Region,A Level or Equivalent,10-20,35-55,0,60,False,-169.0,268,83.5,83.0,84.0,2.0,36.0,15.0,1.0,1514.0,3.7944862155388472,-10.0,86.0,53.0,96.0,255.0
AAA,2013J,227517,M,Ireland,HE Qualification,20-30%,0-35,0,180,False,-172.0,268,65.0,63.0,67.0,2.0,36.0,15.0,1.0,858.0,3.7142857142857144,-10.0,79.0,43.0,89.0,258.0
AAA,2013J,228082,M,London Region,HE Qualification,60-70%,0-35,0,60,False,-31.0,268,63.0,58.0,68.0,2.0,36.5,15.0,1.0,103.0,2.019607843137255,-10.0,51.0,10.0,61.0,117.0
AAA,2013J,228222,M,East Midlands Region,Lower Than A Level,50-60%,0-35,0,60,False,-108.0,268,58.0,45.0,71.0,2.0,40.0,15.0,1.0,223.0,2.5930232558139537,0.0,77.0,28.0,77.0,194.0
AAA,2013J,229179,M,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,False,-165.0,268,66.0,64.0,68.0,2.0,36.5,15.0,1.0,365.0,3.967391304347826,-6.0,86.0,30.0,92.0,251.0
AAA,2013J,229361,M,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,False,-58.0,268,78.5,76.0,81.0,2.0,35.5,15.0,1.0,424.0,3.3125,-10.0,86.0,25.0,96.0,144.0
AAA,2013J,231554,M,London Region,A Level or Equivalent,40-50%,0-35,0,240,False,-29.0,268,71.0,62.0,80.0,2.0,36.5,15.0,1.0,1014.0,4.651376146788991,-9.0,84.0,36.0,93.0,115.0
AAA,2013J,235507,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,0,240,False,-79.0,268,65.0,65.0,65.0,1.0,18.0,10.0,1.0,190.0,2.676056338028169,-10.0,46.0,24.0,56.0,165.0
AAA,2013J,236284,M,Scotland,Post Graduate Qualification,90-100%,0-35,0,60,False,2.0,268,84.5,84.0,85.0,2.0,38.5,15.0,1.0,191.0,3.1311475409836067,16.0,67.0,20.0,51.0,84.0
AAA,2013J,238007,M,South Region,HE Qualification,90-100%,55<=,0,60,False,-151.0,268,78.0,73.0,83.0,2.0,36.5,15.0,1.0,742.0,2.853846153846154,-10.0,86.0,51.0,96.0,237.0
AAA,2013J,240712,M,London Region,HE Qualification,80-90%,0-35,0,80,False,-45.0,268,81.5,81.0,82.0,2.0,36.5,15.0,1.0,113.0,2.404255319148936,-9.0,54.0,19.0,63.0,131.0
AAA,2013J,240884,M,South Region,A Level or Equivalent,90-100%,0-35,0,120,False,-47.0,268,64.0,54.0,74.0,2.0,35.5,15.0,1.0,224.0,2.765432098765432,-6.0,86.0,28.0,92.0,133.0
AAA,2013J,241649,M,East Anglian Region,HE Qualification,90-100%,35-55,0,60,False,-50.0,268,75.5,66.0,85.0,2.0,29.0,15.0,1.0,1043.0,3.711743772241993,-10.0,86.0,48.0,96.0,136.0
AAA,2013J,241729,F,East Midlands Region,HE Qualification,60-70%,35-55,0,60,False,-31.0,268,53.0,51.0,55.0,2.0,41.5,15.0,1.0,595.0,3.0670103092783507,-10.0,85.0,44.0,95.0,117.0
AAA,2013J,242793,M,London Region,HE Qualification,20-30%,35-55,0,60,False,-36.0,268,70.5,66.0,75.0,2.0,35.5,15.0,1.0,239.0,2.6555555555555554,-10.0,81.0,47.0,91.0,122.0
AAA,2013J,246834,M,South West Region,A Level or Equivalent,90-100%,35-55,0,60,False,-16.0,268,58.0,56.0,60.0,2.0,36.0,15.0,1.0,522.0,3.3461538461538463,-10.0,55.0,30.0,65.0,102.0
AAA,2013J,248270,M,North Western Region,Lower Than A Level,20-30%,0-35,0,90,False,-198.0,268,78.0,77.0,79.0,2.0,40.0,15.0,1.0,1112.0,3.3799392097264436,-10.0,86.0,43.0,96.0,284.0
AAA,2013J,255548,M,Wales,Lower Than A Level,20-30%,35-55,0,60,False,-103.0,268,79.5,75.0,84.0,2.0,40.0,15.0,1.0,1630.0,3.7731481481481484,-10.0,86.0,46.0,96.0,189.0
AAA,2013J,256815,M,North Western Region,HE Qualification,10-20,0-35,0,120,False,-117.0,268,73.0,71.0,75.0,2.0,45.5,15.0,1.0,501.0,3.6838235294117645,-10.0,86.0,34.0,96.0,203.0
AAA,2013J,258392,F,West Midlands Region,Lower Than A Level,30-40%,0-35,0,60,False,-68.0,268,57.5,57.0,58.0,2.0,39.0,15.0,1.0,316.0,2.5483870967741935,-10.0,60.0,31.0,70.0,154.0
AAA,2013J,258894,F,East Anglian Region,Lower Than A Level,70-80%,35-55,0,60,False,-172.0,268,61.5,58.0,65.0,2.0,43.0,15.0,1.0,1569.0,3.3382978723404255,-10.0,86.0,46.0,96.0,258.0
AAA,2013J,260355,F,London Region,A Level or Equivalent,80-90%,35-55,0,60,False,-186.0,268,57.5,55.0,60.0,2.0,40.0,15.0,1.0,257.0,3.2948717948717947,-9.0,86.0,20.0,95.0,272.0
AAA,2013J,262011,M,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,False,-145.0,268,69.5,60.0,79.0,2.0,36.0,15.0,1.0,491.0,3.251655629139073,-7.0,72.0,31.0,79.0,231.0
AAA,2013J,262934,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,False,-191.0,268,80.5,80.0,81.0,2.0,35.5,15.0,1.0,1420.0,3.8904109589041096,-10.0,86.0,45.0,96.0,277.0
AAA,2013J,268073,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,90,False,-33.0,268,71.0,64.0,78.0,2.0,34.0,15.0,1.0,1390.0,4.843205574912892,-3.0,83.0,39.0,86.0,119.0
AAA,2013J,268733,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,180,False,-17.0,268,51.0,51.0,51.0,1.0,29.0,10.0,1.0,141.0,4.7,-2.0,35.0,10.0,37.0,103.0
AAA,2013J,271251,M,Scotland,A Level or Equivalent,80-90%,35-55,0,60,False,-68.0,268,71.0,62.0,80.0,2.0,36.5,15.0,1.0,1716.0,5.6262295081967215,-10.0,84.0,55.0,94.0,154.0
AAA,2013J,277880,F,South East Region,A Level or Equivalent,60-70%,0-35,0,60,False,-108.0,268,67.5,65.0,70.0,2.0,46.0,15.0,1.0,1474.0,4.7243589743589745,-8.0,86.0,44.0,94.0,194.0
AAA,2013J,279572,M,London Region,Lower Than A Level,40-50%,0-35,0,60,False,-138.0,268,80.5,79.0,82.0,2.0,36.0,15.0,1.0,515.0,4.05511811023622,-10.0,54.0,34.0,64.0,224.0
AAA,2013J,281022,F,Scotland,A Level or Equivalent,30-40%,0-35,0,150,False,-74.0,268,71.0,70.0,72.0,2.0,38.0,15.0,1.0,241.0,2.835294117647059,-8.0,84.0,23.0,92.0,160.0
AAA,2013J,281250,M,Wales,Lower Than A Level,70-80%,35-55,0,60,False,-64.0,268,60.0,57.0,63.0,2.0,35.0,15.0,1.0,100.0,1.9230769230769231,-10.0,40.0,19.0,50.0,150.0
AAA,2013J,281589,M,North Western Region,HE Qualification,30-40%,0-35,0,60,False,-50.0,268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,2.347826086956522,-9.0,37.0,9.0,46.0,136.0
AAA,2013J,282821,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,False,-107.0,268,57.0,53.0,61.0,2.0,41.0,15.0,1.0,1245.0,4.940476190476191,-10.0,73.0,40.0,83.0,193.0
AAA,2013J,286488,M,South East Region,A Level or Equivalent,90-100%,35-55,0,60,False,-8.0,268,64.0,55.0,73.0,2.0,36.0,15.0,1.0,429.0,4.165048543689321,-7.0,80.0,40.0,87.0,94.0
AAA,2013J,287548,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,120,False,-52.0,268,69.5,69.0,70.0,2.0,37.0,15.0,1.0,309.0,4.232876712328767,-10.0,71.0,30.0,81.0,138.0
